Wall time,Step,Value
1691998188.049257,2162,4.044623374938965
1691998189.3538496,2177,3.9794840812683105
1691998192.3076744,2211,3.9851088523864746
1691998192.650674,2215,3.96785306930542
1691998193.260294,2222,4.0213236808776855
1691998194.0459037,2231,3.9788947105407715
1691998195.0695212,2243,4.07938289642334
1691998195.9395213,2253,4.048552513122559
1691998196.1111124,2255,3.9516444206237793
1691998196.2911127,2257,3.953996181488037
1691998196.7211123,2262,3.949061393737793
1691998196.9807284,2265,3.974196672439575
1691998197.6527283,2273,3.939208984375
1691998197.9773414,2277,3.929622173309326
1691998199.6859503,2297,3.934638023376465
1691998200.129545,2302,4.035177230834961
1691998200.2165463,2303,3.9957897663116455
1691998200.3885448,2305,3.94453763961792
1691998200.653545,2308,3.9877586364746094
1691998201.0051563,2312,4.069883346557617
1691998201.0911562,2313,3.9501428604125977
1691998201.7041562,2320,4.012899398803711
1691998201.968763,2323,3.982745409011841
1691998202.4217634,2328,3.9369821548461914
1691998204.1657617,2347,3.9571163654327393
1691998205.0650907,2357,3.9477994441986084
1691998205.6188622,2363,3.98567271232605
1691998206.1777077,2369,3.8034868240356445
1691998206.5307076,2373,3.8706631660461426
1691998207.596462,2385,3.897284507751465
1691998207.6837502,2386,3.79074764251709
1691998210.2895408,2411,3.8653762340545654
1691998211.096051,2420,3.8977210521698
1691998214.3034728,2455,3.8483476638793945
1691998214.3914726,2456,3.986581802368164
1691998214.5644724,2458,3.963805675506592
1691998218.5032036,2502,3.895055055618286
1691998219.2051795,2510,3.8447864055633545
1691998219.7960656,2517,3.8736448287963867
1691998219.9666095,2519,3.688725709915161
1691998220.1576626,2521,3.776292562484741
1691998220.588663,2526,3.9688284397125244
1691998222.7576034,2551,3.942575454711914
1691998222.842603,2552,3.932689666748047
1691998223.7052546,2562,3.8869824409484863
1691998223.8752542,2564,3.785159111022949
1691998224.3001523,2569,4.041019439697266
1691998225.495914,2583,3.8654613494873047
1691998226.0306575,2589,3.900362014770508
1691998226.7166595,2598,3.9499871730804443
1691998227.892238,2613,3.914581775665283
1691998228.2038424,2617,3.894188404083252
1691998228.356842,2619,3.9114840030670166
1691998230.3993385,2644,3.940608501434326
1691998231.4271479,2656,3.858120918273926
1691998232.2558324,2666,3.8260834217071533
1691998232.7368321,2672,3.7755494117736816
1691998234.186704,2689,3.6899633407592773
1691998234.7287142,2695,3.7633190155029297
1691998234.8165865,2696,3.961202621459961
1691998236.0870333,2710,3.786076068878174
1691998236.6136847,2716,3.79451584815979
1691998237.0532956,2721,3.7016243934631348
1691998239.068352,2744,3.845658302307129
1691998239.6783519,2751,3.7741904258728027
1691998240.1121478,2756,3.734210252761841
1691998241.2499886,2769,3.603522300720215
1691998241.8669293,2776,3.4281935691833496
1691998243.1788187,2791,3.6675171852111816
1691998244.2469382,2803,3.6607046127319336
1691998244.5049407,2806,3.5842230319976807
1691998245.7483618,2820,3.658688545227051
1691998248.9513915,2855,3.728919506072998
1691998249.0399885,2856,3.682781219482422
1691998249.1274805,2857,3.5731875896453857
1691998250.8200743,2875,3.656205415725708
1691998252.245766,2890,3.673853874206543
1691998256.6105325,2938,3.6622042655944824
1691998257.4309719,2947,3.7432217597961426
1691998258.2461977,2956,3.7096002101898193
1691998258.8111372,2962,3.6407523155212402
1691998260.7700942,2983,3.7628140449523926
1691998260.942094,2985,3.8066766262054443
1691998261.0296438,2986,3.588778018951416
1691998265.1538844,3033,3.711686372756958
1691998265.8312142,3041,3.7670087814331055
1691998267.839876,3064,3.8961503505706787
1691998268.6558282,3073,3.5838656425476074
1691998269.0234392,3077,3.7992494106292725
1691998269.375922,3081,3.7143211364746094
1691998270.4841661,3093,3.7415733337402344
1691998270.7545297,3096,3.6276333332061768
1691998271.4769418,3104,3.611605405807495
1691998271.7759407,3107,3.7097973823547363
1691998273.926987,3131,3.776284694671631
1691998274.2999868,3135,3.696847438812256
1691998274.479985,3137,3.662578582763672
1691998276.9728777,3165,3.6337404251098633
1691998279.0695066,3188,3.742096185684204
1691998280.430384,3203,3.6862521171569824
1691998281.2041526,3211,3.722256660461426
1691998281.6734788,3216,3.7606077194213867
1691998282.1307528,3221,3.6504859924316406
1691998282.6878595,3227,3.6422741413116455
1691998284.2285166,3243,3.7307381629943848
1691998285.865174,3261,3.6583943367004395
1691998285.9505463,3262,3.845781087875366
1691998286.5817924,3269,3.6783618927001953
1691998286.8356352,3272,3.7876248359680176
1691998288.9898217,3296,3.603562116622925
1691998289.2568755,3299,3.6478524208068848
1691998289.9042776,3306,3.6257219314575195
1691998290.1841316,3309,3.6324915885925293
1691998290.2761335,3310,3.737239360809326
1691998290.4620233,3312,3.5742154121398926
1691998290.5510895,3313,3.664393901824951
1691998292.7301142,3338,3.5765557289123535
1691998293.5662575,3347,3.7891809940338135
1691998295.661774,3371,3.622382402420044
1691998296.4089506,3379,3.5564496517181396
1691998297.678649,3393,3.72653865814209
1691998297.7636483,3394,3.7492780685424805
1691998299.273087,3411,3.6248512268066406
1691998301.837511,3440,3.7150607109069824
1691998302.013139,3442,3.6292812824249268
1691998302.9115765,3452,3.4984066486358643
1691998304.5661688,3469,3.509359836578369
1691998304.9957445,3474,3.592944622039795
1691998307.0149632,3496,3.5190463066101074
1691998307.2879634,3499,3.602977752685547
1691998307.7569637,3504,3.5788183212280273
1691998308.7325954,3515,3.5351643562316895
1691998308.9145958,3517,3.556976318359375
1691998309.5744379,3524,3.7063801288604736
1691998310.1214926,3530,3.477466583251953
1691998310.7454119,3537,3.5468294620513916
1691998311.2880914,3543,3.648529052734375
1691998311.5570912,3546,3.5988879203796387
1691998313.07301,3563,3.654615879058838
1691998314.1237726,3575,3.591299533843994
1691998314.4158018,3578,3.5178287029266357
1691998315.0616572,3585,3.5348899364471436
1691998316.5574415,3601,3.5328359603881836
1691998316.7468994,3603,3.5809361934661865
1691998317.2927566,3609,3.4252805709838867
1691998317.6716955,3613,3.6315507888793945
1691998319.1330333,3629,3.550443410873413
1691998320.7513614,3646,3.5382609367370605
1691998322.6438427,3666,3.564525842666626
1691998324.3616571,3684,3.5717124938964844
1691998324.5744648,3686,3.6756467819213867
1691998324.8225873,3688,3.497161865234375
1691998325.135526,3691,3.502162456512451
1691998325.437155,3694,3.5776665210723877
1691998327.1897178,3711,3.534395694732666
1691998328.27482,3722,3.6303915977478027
1691998329.585004,3736,3.6072170734405518
1691998332.731755,3766,3.4906044006347656
1691998332.9231439,3768,3.5145325660705566
1691998335.1154475,3792,3.386979103088379
1691998335.4881608,3796,3.3794493675231934
1691998335.676947,3798,3.446207046508789
1691998336.2174454,3804,3.4255645275115967
1691998336.4867249,3807,3.4503886699676514
1691998336.7521977,3809,3.425891399383545
1691998337.570727,3818,3.5376291275024414
1691998338.1846905,3825,3.542111396789551
1691998339.3772728,3838,3.4309911727905273
1691998340.0978038,3846,3.472973585128784
1691998341.2253957,3859,3.527719497680664
1691998341.398592,3861,3.516468048095703
1691998341.658455,3864,3.4684767723083496
1691998343.1146197,3880,3.364898443222046
1691998343.5524633,3885,3.4230079650878906
1691998343.722518,3887,3.478313446044922
1691998344.5939302,3897,3.3557162284851074
1691998344.9369822,3901,3.4286181926727295
1691998347.49132,3930,3.4523403644561768
1691998347.9316835,3935,3.3008909225463867
1691998348.5501835,3942,3.5049257278442383
1691998352.453013,3986,3.465083122253418
1691998353.1656811,3994,3.3429622650146484
1691998353.8062868,4001,3.403470754623413
1691998354.161597,4005,3.328599691390991
1691998355.1410637,4016,3.4012973308563232
1691998355.6720905,4022,3.385042428970337
1691998356.2448974,4028,3.4273767471313477
1691998358.217957,4050,3.254809856414795
1691998359.1892176,4061,3.338778495788574
1691998359.647048,4066,3.1839652061462402
1691998360.4659793,4075,3.3140125274658203
1691998360.5621798,4076,3.2872869968414307
1691998361.6752355,4088,3.355515956878662
1691998362.698633,4099,3.3614108562469482
1691998362.9700418,4102,3.3273375034332275
1691998363.9091752,4112,3.2083778381347656
1691998368.2276611,4159,3.263284683227539
1691998368.6634288,4164,3.3399715423583984
1691998368.7494287,4165,3.2875473499298096
1691998369.673202,4175,3.161874294281006
1691998376.4049752,4248,3.2625837326049805
1691998377.4130857,4259,3.2899112701416016
1691998377.5060935,4260,3.332017421722412
1691998377.6873379,4262,3.234107494354248
1691998377.862757,4264,3.3566722869873047
1691998378.144165,4267,3.2311158180236816
1691998378.2281933,4268,3.2841973304748535
1691998380.4412756,4293,3.1813695430755615
1691998380.8942757,4298,3.313053607940674
1691998381.152897,4301,3.2817015647888184
1691998381.8800678,4309,3.2596776485443115
1691998382.8523116,4320,3.2861194610595703
1691998383.6899085,4329,3.159001588821411
1691998383.9855063,4332,3.1890692710876465
1691998384.0835059,4333,3.2482967376708984
1691998385.4827054,4348,3.152618646621704
1691998386.8557272,4364,3.309110164642334
1691998387.3814507,4370,3.200202465057373
1691998387.7234514,4374,3.3097574710845947
1691998388.4921126,4383,3.0855603218078613
1691998388.665113,4385,3.194457769393921
1691998389.4687343,4394,3.1418256759643555
1691998389.8448238,4398,3.1363370418548584
1691998390.801955,4409,3.2296910285949707
1691998393.0996656,4435,3.11845064163208
1691998393.8957162,4444,3.170149326324463
1691998395.2266076,4459,3.206885814666748
1691998395.8720677,4466,3.2609879970550537
1691998396.4006102,4472,3.1456141471862793
1691998396.7586107,4476,3.220161199569702
1691998396.8476098,4477,3.233736038208008
1691998398.5497193,4496,3.212782382965088
1691998398.8166478,4499,3.1452064514160156
1691998402.3094413,4535,3.1029975414276123
1691998402.881689,4541,3.1318795680999756
1691998404.2769344,4556,3.2124881744384766
1691998404.4641757,4558,3.192641019821167
1691998405.977573,4575,3.1472861766815186
1691998406.0665731,4576,3.219052314758301
1691998407.756977,4595,3.171959400177002
1691998407.8440313,4596,3.080568313598633
1691998408.108525,4599,3.1185245513916016
1691998408.9180915,4608,3.2108421325683594
1691998409.9101095,4619,3.2448058128356934
1691998412.2943268,4644,3.1295785903930664
1691998412.5875578,4647,3.1448535919189453
1691998413.6650245,4658,3.1774497032165527
1691998413.9600513,4661,3.193284511566162
1691998414.1634736,4663,3.154857635498047
1691998414.3719845,4665,3.183051109313965
1691998415.5690646,4677,3.1344122886657715
1691998417.1404076,4694,3.225137710571289
1691998419.0486376,4715,3.274559259414673
1691998419.6997106,4722,3.1524245738983154
1691998420.4412692,4730,3.1768689155578613
1691998420.828639,4734,3.1343460083007812
1691998421.5004826,4741,3.1383705139160156
1691998421.5912352,4742,3.170722007751465
1691998421.6822333,4743,3.1671102046966553
1691998422.621313,4753,3.1977767944335938
1691998425.0038202,4779,3.168181896209717
1691998425.4432786,4784,3.1024937629699707
1691998426.9622455,4800,3.083622932434082
1691998427.996843,4811,3.044987678527832
1691998428.3579504,4815,3.080125331878662
1691998428.4459503,4816,3.1231725215911865
1691998429.1974957,4824,3.097914695739746
1691998429.770279,4830,3.022367000579834
1691998430.03307,4833,3.047853946685791
1691998430.838436,4842,3.1335902214050293
1691998431.1996753,4846,3.0487568378448486
1691998431.8565562,4853,3.0561704635620117
1691998431.943556,4854,2.9467556476593018
1691998432.502172,4860,3.066969871520996
1691998433.136499,4866,3.0684304237365723
1691998433.3171394,4868,3.039827823638916
1691998433.583606,4871,3.0572052001953125
1691998436.8005753,4906,3.087775945663452
1691998437.9153852,4918,3.0037403106689453
1691998439.6256876,4937,3.0318615436553955
1691998439.8005407,4939,3.11906099319458
1691998441.6808217,4960,3.1047933101654053
1691998443.4810534,4980,2.9677815437316895
1691998445.6192756,5004,3.009587526321411
1691998445.8821363,5007,3.000720500946045
1691998447.076585,5020,3.051703453063965
1691998447.8465075,5028,2.988142967224121
1691998448.6565075,5037,3.035201072692871
1691998448.913104,5040,2.973534107208252
1691998449.0875778,5042,3.0935277938842773
1691998449.1744392,5043,3.0603580474853516
1691998453.0736642,5087,2.9932074546813965
1691998453.600899,5093,2.992136240005493
1691998453.8599153,5096,3.130591869354248
1691998454.4727833,5103,3.038618564605713
1691998455.6611083,5116,2.982062339782715
1691998455.8448858,5118,3.0959548950195312
1691998455.9309056,5119,3.0374674797058105
1691998456.5450258,5126,3.111567974090576
1691998458.1067128,5144,3.109729766845703
1691998460.1702852,5167,2.990673542022705
1691998460.6257014,5172,2.9763131141662598
1691998462.42758,5192,2.9667856693267822
1691998462.604783,5194,3.1115665435791016
1691998463.1441965,5200,3.0295677185058594
1691998465.5148306,5226,2.9429831504821777
1691998465.988582,5231,2.930082321166992
1691998467.6032426,5248,3.0329461097717285
1691998469.3456118,5266,3.0068719387054443
1691998470.0644147,5274,3.0482237339019775
1691998472.1966348,5297,3.00673246383667
1691998472.553657,5301,3.073845148086548
1691998472.907971,5305,3.0329442024230957
1691998473.0171294,5306,3.0102877616882324
1691998475.4376745,5332,2.9638781547546387
1691998477.5727358,5355,3.0162296295166016
1691998480.2228,5384,3.0366077423095703
1691998481.2275496,5395,2.960247039794922
1691998482.6755702,5411,3.041438102722168
1691998483.9649107,5425,3.043239116668701
1691998484.058912,5426,3.0410447120666504
1691998485.836442,5446,3.0590648651123047
1691998488.047689,5470,2.9662394523620605
1691998489.5237968,5486,2.9593048095703125
1691998491.2500432,5505,3.0655484199523926
1691998491.5110648,5508,3.0180554389953613
1691998491.9560812,5513,3.040233612060547
1691998495.2843144,5550,3.027043104171753
1691998495.930328,5557,2.9796199798583984
1691998496.3070526,5561,2.927027940750122
1691998496.8881001,5567,3.034270763397217
1691998497.4598002,5573,2.895369052886963
1691998497.9067993,5578,3.044966220855713
1691998498.1744938,5581,3.0040268898010254
1691998498.350496,5583,2.9409899711608887
1691998500.4841356,5607,2.9387903213500977
1691998501.1857474,5615,2.947648525238037
1691998502.7343845,5632,2.9589638710021973
1691998503.192405,5637,3.014242649078369
1691998503.3778868,5639,2.9550507068634033
1691998504.4728646,5651,2.892435073852539
1691998504.649865,5653,3.0241355895996094
1691998505.1854708,5659,2.9762885570526123
1691998506.2820745,5671,2.9966983795166016
1691998506.7296178,5676,2.965113639831543
1691998507.6326423,5686,2.994567394256592
1691998508.5387526,5696,2.9919028282165527
1691998511.1042962,5724,2.9715585708618164
1691998511.2922714,5726,2.994055986404419
1691998511.6518846,5730,2.9889016151428223
1691998513.036142,5745,2.957737684249878
1691998516.9959657,5786,2.984348773956299
1691998517.270454,5789,2.88002872467041
1691998518.9580321,5807,2.9411559104919434
1691998520.6221433,5825,2.9406912326812744
1691998522.16635,5842,2.9504313468933105
1691998522.4433498,5845,2.9417126178741455
1691998522.8923497,5850,2.9561920166015625
1691998523.3411067,5855,2.951305866241455
1691998525.0134082,5873,2.994734764099121
1691998525.1069949,5874,2.9013099670410156
1691998526.627393,5891,2.9651541709899902
1691998526.889111,5894,2.9405019283294678
1691998527.516176,5901,2.9322879314422607
1691998529.9379773,5928,2.9368174076080322
1691998530.142303,5930,2.9374685287475586
1691998530.8214998,5937,2.944359302520752
1691998532.41888,5955,2.9189529418945312
1691998533.1831913,5964,2.956373453140259
1691998533.9652576,5973,2.9210166931152344
1691998534.865317,5983,2.9273786544799805
1691998535.8233452,5994,2.9306979179382324
1691998536.1633456,5998,2.977210760116577
1691998536.2493455,5999,2.948533058166504
1691998537.9004667,6018,2.945826530456543
1691998538.3559163,6023,2.9976139068603516
1691998538.525916,6025,2.9702835083007812
1691998538.870592,6029,2.932784080505371
1691998539.6507018,6038,2.9068405628204346
1691998541.215093,6056,2.991060256958008
1691998542.9528732,6076,2.9433913230895996
1691998543.371559,6081,2.929091453552246
1691998544.1440127,6090,2.9117913246154785
1691998544.658036,6096,2.9332053661346436
1691998544.7440412,6097,2.9643473625183105
1691998545.0972927,6101,2.8138742446899414
1691998545.3723395,6104,2.9432053565979004
1691998547.247552,6126,2.91882586479187
1691998548.8136911,6144,2.918356418609619
1691998549.149951,6148,2.9011545181274414
1691998549.5849507,6153,2.910788059234619
1691998550.9722521,6169,2.9415369033813477
1691998551.142796,6171,2.841205358505249
1691998552.0166109,6181,2.9473187923431396
1691998552.5511625,6187,2.935382843017578
1691998552.7191622,6189,2.8938002586364746
1691998553.2443993,6195,2.8949694633483887
1691998553.4133992,6197,2.858915328979492
1691998553.5833988,6199,2.863959789276123
1691998554.6252835,6211,2.9454433917999268
1691998554.7982836,6213,2.9441094398498535
1691998554.9768991,6215,2.797825336456299
1691998557.0034916,6238,2.9292454719543457
1691998557.7801259,6247,2.8649230003356934
1691998558.0466661,6250,2.9108147621154785
1691998559.5385141,6266,2.880596160888672
1691998560.3979836,6276,2.966165065765381
1691998560.4829905,6277,2.867460012435913
1691998560.650013,6279,2.9035422801971436
1691998561.1684263,6285,2.869957447052002
1691998562.312737,6298,2.822783946990967
1691998562.7767372,6303,2.874579429626465
1691998563.4099467,6310,2.8892934322357178
1691998563.930384,6316,2.8943533897399902
1691998565.0964134,6329,2.9129161834716797
1691998567.4499848,6355,2.864335060119629
1691998569.455675,6378,2.9139366149902344
1691998569.8207042,6382,2.885997772216797
